userId,date,region,gender,mean_list_time_in_24_hours,mean_list_time_in_3_days,mean_list_time_in_7_days,mean_list_time_in_14_days,acc_canc_downg_in_24_hours,acc_canc_downg_in_3_days,acc_canc_downg_in_7_days,acc_canc_downg_in_14_days,thumbs_up_down_in_24_hours,thumbs_up_down_in_3_days,thumbs_up_down_in_7_days,thumbs_up_down_in_14_days,login_logout_in_24_hours,login_logout_in_3_days,login_logout_in_7_days,login_logout_in_14_days,churned_today,will_churn_in_1day,will_churn_in_3days,will_churn_in_7days,will_churn_in_14days
10,2018-11-03,MS,M,245.26612222222226,245.26612222222226,258.000608968254,258.000608968254,1.0,1.0,0.5,0.5,5.0,5.0,3.5,3.5,-2.0,-2.0,-1.0,-1.0,1,0,0,0,0
100016,2018-11-01,MO-IL,M,234.1579805442178,243.34815132474046,243.06973374030315,243.06973374030315,3.0,2.0,1.3333333333333333,1.3333333333333333,3.0,3.5,2.3333333333333335,2.3333333333333335,-3.0,-2.0,-1.6666666666666667,-1.6666666666666667,1,0,0,0,0
121,2018-10-17,CA,M,242.85995447619044,244.12096451568559,243.30538801345048,243.08948928674474,3.0,1.6666666666666667,0.8333333333333334,0.5555555555555556,4.0,3.6666666666666665,2.5,1.8888888888888888,-1.0,-2.0,-2.3333333333333335,-1.6666666666666667,0,0,0,0,0
127,2018-11-20,TX,F,252.944036640625,251.2899131847196,242.75303572187306,242.75303572187306,3.0,1.3333333333333333,1.0,1.0,5.0,6.666666666666667,5.25,5.25,0.0,-2.0,-1.5,-1.5,1,0,0,0,0
127,2018-11-23,TX,F,270.3455209090909,254.81264110381994,253.05127714426976,247.92143802842173,0.0,1.3333333333333333,1.3333333333333333,1.1428571428571428,3.0,3.6666666666666665,5.166666666666667,4.571428571428571,0.0,-1.3333333333333333,-1.6666666666666667,-1.4285714285714286,1,0,0,0,0
156,2018-11-26,PA,M,230.55628000000002,230.55628000000002,230.55628000000002,230.55628000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
200003,2018-11-14,IL-IN-WI,F,0.0,0.0,0.0,159.1513749318565,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,-1.3333333333333333,1,0,0,0,0
200018,2018-10-31,PA-NJ-DE-MD,M,251.7264948888889,251.7264948888889,259.09205353140095,254.4711877597481,0.0,0.0,0.0,0.0,2.0,2.0,1.5,1.0,-1.0,-1.0,-0.5,-0.5,1,0,1,1,1
300004,2018-10-16,CA,F,247.47167406779656,247.47167406779656,247.47167406779656,247.47167406779656,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,1,0,0,0,0
300011,2018-11-21,NY-NJ-PA,F,257.9600259504132,177.61507260494002,223.06889888580736,236.82792367471538,0.0,0.3333333333333333,0.3333333333333333,0.6,11.0,3.0,6.5,7.8,-1.0,-0.6666666666666666,-1.3333333333333333,-1.8,1,0,0,0,0
33,2018-10-27,CT,M,259.4366801111111,259.4366801111111,259.4366801111111,243.82215801010102,1.0,1.0,1.0,0.5,6.0,6.0,6.0,4.5,-3.0,-3.0,-3.0,-1.5,1,0,0,0,0
40,2018-10-21,TX,F,241.12189999999998,239.7477531284917,233.5144576898836,238.29735142540054,0.0,1.0,0.5,0.2857142857142857,4.0,6.5,4.25,3.2857142857142856,0.0,-1.5,-0.75,-0.8571428571428571,1,0,0,0,0
81,2018-10-11,PA-NJ-DE-MD,M,243.12337436974803,251.95691263130257,251.95691263130257,253.4780266430906,3.0,2.0,2.0,1.3333333333333333,5.0,6.5,6.5,4.333333333333333,-4.0,-2.0,-2.0,-1.3333333333333333,0,0,0,0,0
98,2018-11-24,TX,M,234.95369399999998,251.11564420882897,252.46308514176224,252.94749699695137,2.0,1.6666666666666667,2.5,2.111111111111111,-2.0,0.6666666666666666,6.0,5.888888888888889,-1.0,-1.0,-1.8333333333333333,-1.6666666666666667,1,0,0,0,0
